product_code,nombre,descripcion
CIP-0553,GLADE TOQUE FULL - LIMON,"Aromatizante de ambientes GLADE TOQUE FULL - LIMON, marca Glade."
CIP-0554,GLADE TOQUE FULL - MANDARIN,"Aromatizante de ambientes GLADE TOQUE FULL - MANDARIN, marca Glade."
CIP-0555,GLADE TOQUE FULL - MAÑANA DE CAMPO,"Aromatizante de ambientes GLADE TOQUE FULL - MAÑANA DE CAMPO, marca Glade."
CIP-0556,GLADE TOQUE REPUESTO - COLINAS DE AMBAR,"Aromatizante de ambientes GLADE TOQUE REPUESTO - COLINAS DE AMBAR, marca Glade."
CIP-0557,GLADE TOQUE REPUESTO - ESPECIAS Y,"Aromatizante de ambientes GLADE TOQUE REPUESTO - ESPECIAS Y, marca Glade."
CIP-0558,GLADE TOQUE REPUESTO - FLOR TROPI,"Aromatizante de ambientes GLADE TOQUE REPUESTO - FLOR TROPI, marca Glade."
CIP-0559,GLADE TOQUE REPUESTO - HARMONY,"Aromatizante de ambientes GLADE TOQUE REPUESTO - HARMONY, marca Glade."
CIP-0560,GLADE TOQUE REPUESTO - I LOVE YOU,"Aromatizante de ambientes GLADE TOQUE REPUESTO - I LOVE YOU, marca Glade."
CIP-0561,GLADE TOQUE REPUESTO - LAVANDA,"Aromatizante de ambientes GLADE TOQUE REPUESTO - LAVANDA, marca Glade."
CIP-0562,GLADE TOQUE REPUESTO - LIMON,"Aromatizante de ambientes GLADE TOQUE REPUESTO - LIMON, marca Glade."
CIP-0563,GLADE TOQUE REPUESTO - MAÑ. DE CAMPO,"Aromatizante de ambientes GLADE TOQUE REPUESTO - MAÑ. DE CAMPO, marca Glade."
CIP-0564,GLADE TOQUE REPUESTO - MELODIA BA,"Aromatizante de ambientes GLADE TOQUE REPUESTO - MELODIA BA, marca Glade."
CIP-0565,GLADE TOQUE REPUESTO - MENTA Y VA,"Aromatizante de ambientes GLADE TOQUE REPUESTO - MENTA Y VA, marca Glade."
CIP-0566,GLADE TOQUE REPUESTO - PARAISO AZUL,"Aromatizante de ambientes GLADE TOQUE REPUESTO - PARAISO AZUL, marca Glade."
CIP-0567,GLADE TOQUE REPUESTO - PLACER FLO,"Aromatizante de ambientes GLADE TOQUE REPUESTO - PLACER FLO, marca Glade."
CIP-0568,GLADE TOQUE REPUESTO - RITMO CITR,"Aromatizante de ambientes GLADE TOQUE REPUESTO - RITMO CITR, marca Glade."
CIP-0570,GLADE TOQUE REPUESTO X 2,"Aromatizante de ambientes GLADE TOQUE REPUESTO X 2, marca Glade."
CIP-0571,HISOPOS ALGABO BABY X 30,"Algodón HISOPOS ALGABO BABY X 30, marca Algabo, línea Ciprés Limpieza, Villa Constitución."
CIP-0572,HISOPOS ALGABO X 100 UNID,"Algodón HISOPOS ALGABO X 100 UNID, marca Algabo, línea Ciprés Limpieza, Villa Constitución."
CIP-0573,HORNILLO SAPHIRUS CHICO,"Aromatizante de ambientes HORNILLO SAPHIRUS CHICO, marca Saphirus, línea Ciprés Limpieza, Villa Constitución."
CIP-0574,HORNILLO SAPHIRUS GRANDE,"Aromatizante de ambientes HORNILLO SAPHIRUS GRANDE, marca Saphirus, línea Ciprés Limpieza, Villa Constitución."
CIP-0575,HORQUETA CON CLIP VULCANO,"Producto para pileta HORQUETA CON CLIP VULCANO, marca Vulcano, línea Ciprés Limpieza, Villa Constitución."
CIP-0576,IONIZADOR SOLAR VULCANO,"Producto para pileta IONIZADOR SOLAR VULCANO, marca Vulcano, línea Ciprés Limpieza, Villa Constitución."
CIP-0604,KIT BASICO SAPHIRUS,"Aromatizante de ambientes KIT BASICO SAPHIRUS, marca Saphirus, línea Ciprés Limpieza, Villa Constitución."
CIP-0605,KIT EMPRENDEDOR SAPHIRUS,"Aromatizante de ambientes KIT EMPRENDEDOR SAPHIRUS, marca Saphirus, línea Ciprés Limpieza, Villa Constitución."
CIP-0606,KIT INICIAL SAPHIRUS,"Aromatizante de ambientes KIT INICIAL SAPHIRUS, marca Saphirus, línea Ciprés Limpieza, Villa Constitución."
CIP-0627,LIMPIAFONDO 8 RUEDAS FIJAS VULCANO,"Producto para pileta LIMPIAFONDO 8 RUEDAS FIJAS VULCANO, marca Vulcano."
CIP-0628,LIMPIAFONDO OVALADO VULCANO,"Producto para pileta LIMPIAFONDO OVALADO VULCANO, marca Vulcano, línea Ciprés Limpieza, Villa Constitución."
CIP-0629,LIMPIAFONDO TRIANGULAR VULCANO,"Producto para pileta LIMPIAFONDO TRIANGULAR VULCANO, marca Vulcano, línea Ciprés Limpieza, Villa Constitución."
CIP-0632,LYSOFORM AEROSOL 315CC - LAVANDA,"Aromatizante de ambientes LYSOFORM AEROSOL 315CC - LAVANDA, marca Lysoform, 315 cc."
CIP-0634,LYSOFORM AEROSOL 360CC - AIRE DE MONTAÑA,"Aromatizante de ambientes LYSOFORM AEROSOL 360CC - AIRE DE MONTAÑA, marca Lysoform, 360 cc."
CIP-0635,LYSOFORM AEROSOL 360CC - BEBE,"Aromatizante de ambientes LYSOFORM AEROSOL 360CC - BEBE, marca Lysoform, 360 cc."
CIP-0636,LYSOFORM AEROSOL 360CC - BONUS,"Aromatizante de ambientes LYSOFORM AEROSOL 360CC - BONUS, marca Lysoform, 360 cc."
CIP-0637,LYSOFORM AEROSOL 360CC - CITRICA,"Aromatizante de ambientes LYSOFORM AEROSOL 360CC - CITRICA, marca Lysoform, 360 cc."
