product_code,nombre,descripcion
13012092,NUTRILEVA LEV ALIM. MANZ. CJ 100E/BOL200,"Alimenticia Calsa para panificación, línea NUTRILEVA LEV ALIM. MANZ. CJ 100E/BOL200, presentación comercial de 20 kg."
32402033,RICABE GRASA SACHX1KG,"Grasas/Shortenings Calsa para panificación, línea Refinada Dura, presentación comercial de 1 kg."
32025093,PASTELGRAS GRASA CJX20KG - 100A,"Grasas/Shortenings Calsa para panificación, línea Refinada Dura, presentación comercial de 20 kg."
73166030,I360 PREM. PAN DE QUESO. BOL2KG,"Premezclas Calsa para panificación, línea Panaderia, presentación comercial de 2 kg."
73166143,I360 PREM. PAN DE QUESO. CJ6X2KG,"Premezclas Calsa para panificación, línea Panaderia, presentación comercial de 12 kg."
72471156,LP ESENCIA MANTECA CJ 6X2 LT,"Esencias y Colorantes Calsa para panificación, línea Esencias, presentación comercial de 12 l."
72810145,LP CREMA PASTELERA CJ6X3 KG,"Cremas Calsa para panificación, línea Polvos, presentación comercial de 18 kg."
15017082,MAURIPAN LEV. SECA MS CJ 20 PAQ 500G,"Seca Calsa para panificación, línea HADY, presentación comercial de 10 kg."
72471021,LP ESENCIA MANTECA BIDON 2 LT,"Esencias y Colorantes Calsa para panificación, línea Esencias, presentación comercial de 2 l."
72970022,LP KOLAROMA MANTECA BIDON 1 LT,"Esencias y Colorantes Calsa para panificación, línea Esencia & Color, presentación comercial de 1 l."
15112184,MI PAN LSF INSTANTANEA CJ 4D/50S/10G,"Seca Calsa para panificación, línea HADY, presentación comercial de 2 kg."
61010195,LP POLVO PARA HORNEAR FLOR CJ4X4 KG,"Polvo de hornear y otros aditi Calsa para panificación, línea Polvo de Hornear, presentación comercial de 16 kg."
72809160,FLEISCH. CREMA VEGETAL VAIN. CJ 12X1 LT,"Cremas Calsa para panificación, línea UHT, presentación comercial de 12 l."
73093145,LP PREM. BIZCOCHUELO VAI. CJ6X3 KG,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 18 kg."
22015066,LP MEJ DIASTASICO BALDE X5KG,"Extractos y harinas de malta Calsa para panificación, línea Extractos., presentación comercial de 5 kg."
73181032,LP. PREM. BUDIN BASE HUM VAIN BOL 3K,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 10 kg."
73135145,LP. PREM. AKTIVO CEREALES CJ6X3 KG,"Premezclas Calsa para panificación, línea Panaderia, presentación comercial de 18 kg."
73181145,LP. PREM. BUDIN BASE HUM VAIN CJ 6X3KG,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 18 kg."
72980022,LP KOLAROMA CHOCO. BIDON 1 LT,"Esencias y Colorantes Calsa para panificación, línea Esencia & Color, presentación comercial de 1 l."
72809169,FLEISCH. CREMA VEGETAL VAIN. PACK X1 LT,"Cremas Calsa para panificación, línea UHT, presentación comercial de 1 l."
15018082,MAURIPAN LEV. SECA MD CJ 20 PAQ 500G,"Seca Calsa para panificación, línea HADY, presentación comercial de 10 kg."
61010034,LP POLVO PARA HORNEAR FLOR BOLSA X 4KG,"Polvo de hornear y otros aditi Calsa para panificación, línea Polvo de Hornear, presentación comercial de 4 kg."
73038145,LP PREM. BIZCOCHUELO CHOCO. CJ6X3 KG,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 18 kg."
22015112,LP MEJ DIASTASICO BALDE X28KG,"Extractos y harinas de malta Calsa para panificación, línea Extractos., presentación comercial de 28 kg."
73108208,I360 PREM. PAN CON SEMILLAS CAJ 4x5 KG,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 5 kg."
73108157,I360 PREM. PAN CON SEMILLAS BOL 5 KG,"Premezclas Calsa para panificación, línea Panaderia, presentación comercial de 5 kg."
72810032,LP CREMA PASTELERA BOL.3 KG,"Cremas Calsa para panificación, línea Polvos, presentación comercial de 3 kg."
73733130,LP BAÑO ALFAJ. BLANCO CJ X 3 KG,"Chocolates Calsa para panificación, línea Baños, presentación comercial de 3 kg."
73163145,I360 PREM. MUFFIN CHOCO. CJ6X3KG 100A,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 18 kg."
73093032,LP PREM. BIZCOCHUELO VAI. BOL.3 KG,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 3 kg."
73109208,I360 PREM. PAN CON CEREALES CAJ 4x5KG,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 5 kg."
73038032,LP PREM. BIZCOCHUELO CHOCO. BOL.3 KG,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 3 kg."
72831145,LP CREMA CHANTILLY PREMIUM CJ6X3 KG,"Cremas Calsa para panificación, línea Polvos, presentación comercial de 18 kg."
73103032,LP. PREM. BUDIN HUM VAI BOL 3KG,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 3 kg."
73103145,LP. PREM. BUDIN HUM VAI 6X3KG,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 3 kg."
73180145,LP. PREM. BUDIN BASE HUM CHOCO CJ 6X3KG,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 18 kg."
61010200,LP POLVO PARA HORNEAR FLOR CJ8X2 KG,"Polvo de hornear y otros aditi Calsa para panificación, línea Polvo de Hornear, presentación comercial de 16 kg."
15017001,MAURIPAN LEV. SECA MS PAQ 500G,"Seca Calsa para panificación, línea HADY, presentación comercial de 0.5 kg."
73094032,LP PREM. ROSCA-PAN DULCE DUAL BOL. 3KG,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 3 kg."
73180032,LP. PREM. BUDIN BASE HUM CHOCO BOL 3KG,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 3 kg."
63230486,"LP MEJ.CONC. CALSA MAX POTE X1,5 KG","Mejoradores Calsa para panificación, línea Concentrado, presentación comercial de 1.5 kg."
73094145,LP PREM. ROSCA-PAN DULCE CJ6X3 KG,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 18 kg."
62010132,LP EMULSIONANTE GEL POTE X4 KG,"Polvo de hornear y otros aditi Calsa para panificación, línea Emulsionante, presentación comercial de 4 kg."
73135032,LP PREM. AKTIVO CEREALES BOL.3 KG,"Premezclas Calsa para panificación, línea Panaderia, presentación comercial de 3 kg."
73109157,I360 PREM. PAN CON CEREALES BOL 5 KG,"Premezclas Calsa para panificación, línea Panaderia, presentación comercial de 5 kg."
73102145,LP. PREM. BUDIN HUM CHOCO 6X3KG,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 3 kg."
72830145,LP CREMA CHANTILLY CLASSIC CJ6X3 KG,"Cremas Calsa para panificación, línea Polvos, presentación comercial de 18 kg."
61010030,LP POLVO PARA HORNEAR FLOR BOLSA X 2KG,"Polvo de hornear y otros aditi Calsa para panificación, línea Polvo de Hornear, presentación comercial de 2 kg."
73163032,I360 PREM. MUFFIN CHOCO. BOL3KG 100A,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 3 kg."
72461156,LP ESENCIA PAN DULCE CJ 6X2 LT,"Esencias y Colorantes Calsa para panificación, línea Esencias, presentación comercial de 12 l."
73094144,LP PREM. ROSCA-PAN DULCE CJ2X10 KG,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 20 kg."
31220093,DELICROK ACEITE LT1 CJX20KG,"Aceites Calsa para panificación, línea Masas., presentación comercial de 20 kg."
72818145,LP CREMA PASTELERA CJ6X3 KG 100A,"Cremas Calsa para panificación, línea Polvos, presentación comercial de 18 kg."
22030067,LP EXT. DE MALTA EXTRAMALT BALDE X12 KG,"Extractos y harinas de malta Calsa para panificación, línea Extractos., presentación comercial de 12 kg."
72461021,LP ESENCIA PAN DULCE BIDON 2 LT,"Esencias y Colorantes Calsa para panificación, línea Esencias, presentación comercial de 2 l."
73102032,LP. PREM. BUDIN HUM CHOCO BOL 3KG,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 3 kg."
31521093,MR. CHOC ACEITE 927 0 TRANS CJX20KG,"Aceites Calsa para panificación, línea Coberturas / Baños, presentación comercial de 20 kg."
15018001,MAURIPAN LEV. SECA MD PAQ 500G,"Seca Calsa para panificación, línea HADY, presentación comercial de 0.5 kg."
72451156,LP ESENCIA ALMENDRA CJ 6X2 LT,"Esencias y Colorantes Calsa para panificación, línea Esencias, presentación comercial de 12 l."
31520093,MR. CHOC ACEITE 913 0 TRANS CJX20KG,"Aceites Calsa para panificación, línea Coberturas / Baños, presentación comercial de 20 kg."
72804160,LP CREMA VEG REFRIGERATTO CJ 12X1 LT,"Cremas Calsa para panificación, línea UHT, presentación comercial de 12 l."
72803160,LP CREMA VEG CHOCOLATE UHT CJ 12X1 LT,"Cremas Calsa para panificación, línea UHT, presentación comercial de 12 l."
72804169,LP CREMA VEG REFRIGERATTO PACK X1,"Cremas Calsa para panificación, línea UHT, presentación comercial de 1 kg."
31310093,BIZCOCHINA ACEITE 0% TRANS CJX20KG,"Aceites Calsa para panificación, línea Masas., presentación comercial de 20 kg."
73094042,LP PREM. ROSCA-PAN DULCE DUAL BOLX10KG,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 10 kg."
72818032,LP CREMA PASTELERA BOL.3 KG 100A,"Cremas Calsa para panificación, línea Polvos, presentación comercial de 3 kg."
64020195,LP MEJ. PANES BLANDOS CJ 4x4 KG,"Premezclas Calsa para panificación, línea Panaderia, presentación comercial de 16 kg."
72803169,LP CREMA VEG CHOCOLATE UHT PACK X1,"Cremas Calsa para panificación, línea UHT, presentación comercial de 1 kg."
72740193,LP BAÑO MOLDEO BLANCO CJ 4X1 KG,"Chocolates Calsa para panificación, línea Baños, presentación comercial de 4 kg."
73086145,I360 PREM.BUDIN CON AVENA FRUTAS CJ6x3KG,"Premezclas Calsa para panificación, línea Panaderia, presentación comercial de 18 kg."
73084145,I360 PREM. BUDIN CON GRANOLA CJ6X3KG,"Premezclas Calsa para panificación, línea Panaderia, presentación comercial de 18 kg."
13011092,NUTRILEVA LEV ALIM. QUESO CJ 100E/BOL200,"Alimenticia Calsa para panificación, línea NUTRILEVA LEV ALIM. QUESO CJ 100E/BOL200, presentación comercial de 20 kg."
73086032,I360 PREM.BUDIN CON AVENA FRUTAS BOLx3KG,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 3 kg."
73084032,I360 PREM. BUDIN CON GRANOLA BOL. X3 KG,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 3 kg."
72740033,LP BAÑO MOLDEO BLANCO BOL. X1 KG,"Chocolates Calsa para panificación, línea Baños, presentación comercial de 1 kg."
15017042,MAURIPAN LEV. SECA MS PAQ 500G,"Seca Calsa para panificación, línea HADY, presentación comercial de 0.5 kg."
63240486,"LP MEJ.CONC. FORMULA N POTE X1,5 KG","Mejoradores Calsa para panificación, línea Concentrado, presentación comercial de 1.5 kg."
64020034,LP MEJ. PANES BLANDOS BOL x 4KG,"Premezclas Calsa para panificación, línea Panaderia, presentación comercial de 4 kg."
63230492,LP MEJ.CONC. CALSA MAX POTE X500 G,"Mejoradores Calsa para panificación, línea Concentrado, presentación comercial de 0.5 kg."
72830032,LP CREMA CHANTILLY CLASSIC BOL.3 KG,"Cremas Calsa para panificación, línea Polvos, presentación comercial de 3 kg."
72831032,LP CREMA CHANTILLY PREMIUM BOL.3 KG,"Cremas Calsa para panificación, línea Polvos, presentación comercial de 3 kg."
10001106,CALSA LEVADURA FLUIDA - PALECON,"Crema Calsa para panificación, línea 1.5:1, presentación comercial de 1 kg."
73069032,LP PREM. MUFFINS CHOCO. BOL.3 KG,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 3 kg."
73091180,I360 PM. BUDIN GIRAS&YOG CJ7x2 KG 100A,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 14 kg."
73107208,I360 PREM. PAN AVENA CAJ 4 x 5 KG,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 5 kg."
