product_code,nombre,precio_lista_1,stock,unidades_por_bulto,unidad_minima_de_venta,umv_tipo,categoria_1,categoria_2,categoria_3,categoria_4,aliases,rotacion_index,mental_priority,descripcion,image_url,en_catalogo,is_mock,fuente_hoja,marca,precio_tiendanube,barcode
6220,Azucar Light Hileret Bolsa X 500 Grs,1942.79,1223,1,unidad,unidad,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,,Azucar Light Hileret Bolsa X 500 Grs|Hileret|Hileret Azucar Light Bolsa X 500 Grs|6220|500 Grs,0.239,0.239,"Azucar Light Hileret Bolsa X 500 Grs, almacén, endulzante, presentación individual.",,true,false,tiendanube,Hileret,3237.99,7794940000536
6131,Pasta Dental Marvis Menta Blanqueadora 1 Pieza 25 Ml,24416.34,0,1,unidad,unidad,Belleza y Cuidado Personal,Higiene Personal,Cuidado Bucal,,Pasta Dental Marvis Menta Blanqueadora 1 Pieza 25 Ml|Marvis|Marvis Pasta Dental Menta Blanqueadora 1 Pieza 25 Ml|6131|25 Ml,0.190,0.190,"Pasta Dental Marvis Menta Blanqueadora 1 Pieza 25 Ml, higiene personal.",,true,false,tiendanube,Marvis,40693.90,8004395111312
6121,Aceite Oliva Laur Extra Virgen Altos Limpios Vidrio 500 Ml,14062.20,102,1,unidad,unidad,Alimentos y Bebidas,Almacén,Aceites y Vinagres,,Aceite Oliva Laur Extra Virgen Altos Limpios Vidrio 500 Ml|Laur|Laur Aceite Oliva Extra Virgen Altos Limpios Vidrio 500 Ml|6121|500 Ml,0.259,0.259,"Aceite Oliva Laur Extra Virgen Altos Limpios Vidrio 500 Ml, almacén.",,true,false,tiendanube,Laur,23437.00,7798159942496
6130,Pasta Dental Marvis Menta Fuerte 85ml,24075.48,1,1,unidad,unidad,Belleza y Cuidado Personal,Higiene Personal,Cuidado Bucal,,Pasta Dental Marvis Menta Fuerte 85ml|Marvis|Marvis Pasta Dental Menta Fuerte 85ml|6130|85ml,0.190,0.190,"Pasta Dental Marvis Menta Fuerte 85ml, higiene personal, producto de higiene bucal.",,true,false,tiendanube,Marvis,40125.80,8004395111701
6061,Frutigran Avena Y Pasas Galletitas Granix 500 Grs,3632.53,420,1,unidad,unidad,Alimentos y Bebidas,Almacén,Galletitas,,Frutigran Avena Y Pasas Galletitas Granix 500 Grs|Frutigran|6061|500 Grs,0.220,0.220,"Frutigran Avena Y Pasas Galletitas Granix 500 Grs, almacén, almacén.",,true,false,tiendanube,Frutigran,6054.22,7790045001218
6059,Frutigran Avena Chía Lino Galletitas Granix 240g,1925.05,820,1,unidad,unidad,Alimentos y Bebidas,Almacén,Galletitas,,Frutigran Avena Chía Lino Galletitas Granix 240g|Frutigran|6059|240g,0.220,0.220,"Frutigran Avena Chía Lino Galletitas Granix 240g, almacén, almacén, presentación individual.",,true,false,tiendanube,Frutigran,3208.41,
6122,Galletitas Dulces Granix Fiesta 350g Variedad De Sabores,2160.11,236,1,unidad,unidad,Alimentos y Bebidas,Almacén,Galletitas,,Galletitas Dulces Granix Fiesta 350g Variedad De Sabores|Granix|Granix Galletitas Dulces Fiesta 350g Variedad De Sabores|6122|350g,0.215,0.215,"Galletitas Dulces Granix Fiesta 350g Variedad De Sabores, almacén, almacén.",,true,false,tiendanube,Granix,3600.19,7790045824886
6222,Jabon Vegetal Jazmin Y Vitamina E - Sri Sri Tattva,3981.73,0,1,unidad,unidad,Belleza y Cuidado Personal,Higiene Personal,Jabones,,Jabon Vegetal Jazmin Y Vitamina E - Sri Sri Tattva|Sri Sri Tattva|Sri Sri Tattva Jabon Vegetal Jazmin Y Vitamina E|6222|vegano|vegana|plant based,0.800,0.800,"Jabon Vegetal Jazmin Y Vitamina E - Sri Sri Tattva, higiene personal.",,true,false,tiendanube,Sri Sri Tattva,6636.21,8904150190128
6064,Arroz Basmati Sri Sri 500gr,5357.67,0,1,unidad,unidad,Alimentos y Bebidas,Almacén,Arroz,,Arroz Basmati Sri Sri 500gr|Sri Sri Tattva|Sri Sri Tattva Arroz Basmati Sri Sri 500gr|6064|500gr,0.800,0.800,"Arroz Basmati Sri Sri 500gr, marca Sri Sri Tattva, almacén.",,true,false,tiendanube,Sri Sri Tattva,8929.45,8904150198704
6033,Mct Oil Líquido Keto Nature's Truth 473 Ml,36397.27,6,1,unidad,unidad,Suplementos,Nutricionales,Suplementos Alimenticios,,Mct Oil Líquido Keto Nature's Truth 473 Ml|Nature's Truth|Nature's Truth Mct Oil Líquido Keto 473 Ml|6033|473 Ml|vegano|vegana|plant based,0.279,0.279,"Mct Oil Líquido Keto Nature's Truth 473 Ml, nutricionales, nutricionales.",,true,false,tiendanube,Nature's Truth,60662.11,840093112576
