lista_precios_id,nombre,multiplicador_sobre_lista_1,product_code,precio_unidad,is_mock
1,Lista única,1.0,603100,4781.70,false
1,Lista única,1.0,5700,8473.35,false
1,Lista única,1.0,3286,7863.29,false
1,Lista única,1.0,KIT-4200MKFD32_0_v,28333.24,false
1,Lista única,1.0,5657100,3726.05,false
1,Lista única,1.0,4238,6312.12,false
1,Lista única,1.0,5694,7990.20,false
1,Lista única,1.0,5693,7526.52,false
1,Lista única,1.0,3790,6757.86,false
1,Lista única,1.0,5687,9509.58,false
1,Lista única,1.0,5698100,3473.46,false
1,Lista única,1.0,5698200,4631.28,false
1,Lista única,1.0,Siluet100,4531.92,false
1,Lista única,1.0,5733,4247.35,false
1,Lista única,1.0,603,1674.13,false
1,Lista única,1.0,361100,3769.44,false
1,Lista única,1.0,8000,18987.42,false
1,Lista única,1.0,KIT-8837MKFD2F_0_v,37964.26,false
1,Lista única,1.0,5690,10568.36,false
1,Lista única,1.0,3445,8810.93,false
1,Lista única,1.0,5691,4002.00,false
1,Lista única,1.0,5692,5512.16,false
1,Lista única,1.0,3444,6757.86,false
1,Lista única,1.0,5686,5699.40,false
1,Lista única,1.0,3989,9202.57,false
1,Lista única,1.0,5697,7814.43,false
1,Lista única,1.0,5696,7795.07,false
1,Lista única,1.0,6111,10709.34,false
1,Lista única,1.0,5695,11587.86,false
1,Lista única,1.0,3289,6757.86,false
1,Lista única,1.0,3288,6945.54,false
1,Lista única,1.0,5679999,12312.79,false
1,Lista única,1.0,5685999,41876.10,false
1,Lista única,1.0,5678999,13383.56,false
1,Lista única,1.0,5675999,44541.19,false
1,Lista única,1.0,5670999,56281.92,false
1,Lista única,1.0,45999,7200.00,false
1,Lista única,1.0,3287,9568.92,false
1,Lista única,1.0,3627,10147.55,false
1,Lista única,1.0,5420,6971.98,false
1,Lista única,1.0,5684999,9903.58,false
1,Lista única,1.0,5677999,20486.10,false
1,Lista única,1.0,5672999,45607.62,false
1,Lista única,1.0,5673999,45607.62,false
1,Lista única,1.0,5682999,49490.94,false
1,Lista única,1.0,5671999,56281.92,false
1,Lista única,1.0,5657,1863.03,false
1,Lista única,1.0,5358999,16183.62,false
1,Lista única,1.0,5674999,67763.52,false
1,Lista única,1.0,5680999,67763.52,false
1,Lista única,1.0,1562,6426.15,false
1,Lista única,1.0,4557999,22696.86,false
1,Lista única,1.0,5588,10612.67,false
1,Lista única,1.0,1594,4647.98,false
1,Lista única,1.0,9990,139863.00,false
1,Lista única,1.0,9996,4955.26,false
1,Lista única,1.0,1599,4732.84,false
1,Lista única,1.0,2825,1613.60,false
1,Lista única,1.0,3500,2219.19,false
1,Lista única,1.0,1593,4017.95,false
1,Lista única,1.0,3993,2823.48,false
1,Lista única,1.0,9997,4818.96,false
1,Lista única,1.0,2824,2814.50,false
1,Lista única,1.0,1120,4551.53,false
1,Lista única,1.0,5558,4232.46,false
1,Lista única,1.0,5559,8137.13,false
1,Lista única,1.0,5557,10058.46,false
1,Lista única,1.0,5560999,11063.14,false
1,Lista única,1.0,5027,5486.45,false
1,Lista única,1.0,5531,2478.48,false
1,Lista única,1.0,5258,13282.51,false
1,Lista única,1.0,5433,5351.89,false
1,Lista única,1.0,5528,6495.66,false
1,Lista única,1.0,5504999,4046.16,false
1,Lista única,1.0,5505,4799.41,false
1,Lista única,1.0,5501,5755.63,false
1,Lista única,1.0,5503,1796.76,false
1,Lista única,1.0,5506,7180.14,false
1,Lista única,1.0,5500,3426.53,false
1,Lista única,1.0,5499,2575.08,false
1,Lista única,1.0,5502,9974.56,false
1,Lista única,1.0,5498,7538.24,false
1,Lista única,1.0,5497,4656.12,false
1,Lista única,1.0,1288,4174.87,false
1,Lista única,1.0,5470,9664.34,false
1,Lista única,1.0,5327999,4894.86,false
1,Lista única,1.0,4404,22200.00,false
1,Lista única,1.0,5398,10550.36,false
1,Lista única,1.0,1264,17231.68,false
1,Lista única,1.0,5209,4628.11,false
1,Lista única,1.0,5279,20418.63,false
1,Lista única,1.0,5069999,9900.00,false
1,Lista única,1.0,4810,10302.38,false
1,Lista única,1.0,1305,3910.37,false
1,Lista única,1.0,3559,15883.80,false
1,Lista única,1.0,5178,6269.17,false
1,Lista única,1.0,5431,12646.32,false
1,Lista única,1.0,4905,4347.36,false
1,Lista única,1.0,1277999,14609.23,false
1,Lista única,1.0,4562999,27967.08,false
1,Lista única,1.0,1175,14013.73,false
1,Lista única,1.0,5063,6574.27,false
1,Lista única,1.0,1279,8885.27,false
1,Lista única,1.0,4742,10340.85,false
1,Lista única,1.0,57,5400.00,false
1,Lista única,1.0,1958,13500.00,false
1,Lista única,1.0,36,6900.00,false
1,Lista única,1.0,3607,6600.00,false
1,Lista única,1.0,1785,11400.00,false
1,Lista única,1.0,1287,8995.01,false
1,Lista única,1.0,5323999,19789.61,false
1,Lista única,1.0,5322,19326.87,false
1,Lista única,1.0,40,9300.00,false
1,Lista única,1.0,1267,9136.70,false
1,Lista única,1.0,5296,6220.30,false
1,Lista única,1.0,1291,8995.01,false
1,Lista única,1.0,5278,6915.40,false
1,Lista única,1.0,5130,5250.08,false
1,Lista única,1.0,4855,12392.40,false
1,Lista única,1.0,2335999,6782.11,false
1,Lista única,1.0,5243,6168.37,false
1,Lista única,1.0,5244999,4250.12,false
1,Lista única,1.0,1275,5060.46,false
