codigo_producto,nombre,descripcion_original,descripcion_mejorada,brand,alias_locales
1243,MICKY PASTA UNTABLE AVELLANA 4 KG,"Insumo de repostería MICKY PASTA UNTABLE AVELLANA 4 KG, marca MAPSA, 4 KG.",Pasta saborizante para helados o repostería: MICKY PASTA UNTABLE AVELLANA 4 KG. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
2793,MICKY PASTA UNTABLE AVELLANA X 10 KG,"Insumo de repostería MICKY PASTA UNTABLE AVELLANA X 10 KG, marca MAPSA, 10 KG.",Pasta saborizante para helados o repostería: MICKY PASTA UNTABLE AVELLANA X 10 KG. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
1260,MICKY PASTA UNTABLE AVELLANA X 450 GRS,"Insumo de repostería MICKY PASTA UNTABLE AVELLANA X 450 GRS, marca MAPSA, 450 GRS.",Pasta saborizante para helados o repostería: MICKY PASTA UNTABLE AVELLANA X 450 GRS. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
2893,MICKY PASTA UNTABLE AVELLANA X CAJA 6U 450 GRS,"Insumo de repostería MICKY PASTA UNTABLE AVELLANA X CAJA 6U 450 GRS, marca MAPSA, 450 GRS, x6 unidades.",Pasta saborizante para helados o repostería: MICKY PASTA UNTABLE AVELLANA X CAJA 6U 450 GRS. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
1247,MICKY PASTA UNTABLE BANANITA 4 KG,"Insumo de repostería MICKY PASTA UNTABLE BANANITA 4 KG, marca MAPSA, 4 KG.",Pasta saborizante para helados o repostería: MICKY PASTA UNTABLE BANANITA 4 KG. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
1253,MICKY PASTA UNTABLE BANANITA X 450 GRS,"Insumo de repostería MICKY PASTA UNTABLE BANANITA X 450 GRS, marca MAPSA, 450 GRS.",Pasta saborizante para helados o repostería: MICKY PASTA UNTABLE BANANITA X 450 GRS. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
2894,MICKY PASTA UNTABLE BANANITA X CAJA 6U 450 GRS,"Insumo de repostería MICKY PASTA UNTABLE BANANITA X CAJA 6U 450 GRS, marca MAPSA, 450 GRS, x6 unidades.",Pasta saborizante para helados o repostería: MICKY PASTA UNTABLE BANANITA X CAJA 6U 450 GRS. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
1241,MICKY PASTA UNTABLE CHOCOLATE 4 KG,"Insumo de repostería MICKY PASTA UNTABLE CHOCOLATE 4 KG, marca MAPSA, 4 KG.",Chocolate / cobertura: MICKY PASTA UNTABLE CHOCOLATE 4 KG. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
1256,MICKY PASTA UNTABLE CHOCOLATE X 450 GRS,"Insumo de repostería MICKY PASTA UNTABLE CHOCOLATE X 450 GRS, marca MAPSA, 450 GRS.",Chocolate / cobertura: MICKY PASTA UNTABLE CHOCOLATE X 450 GRS. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
2895,MICKY PASTA UNTABLE CHOCOLATE X CAJA 6U 450 GRS,"Insumo de repostería MICKY PASTA UNTABLE CHOCOLATE X CAJA 6U 450 GRS, marca MAPSA, 450 GRS, x6 unidades.",Chocolate / cobertura: MICKY PASTA UNTABLE CHOCOLATE X CAJA 6U 450 GRS. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
