product_code,articulo,grupo,marca,contador,cantidad,rotacion_raw,rotacion_index,margen_pct,margen_normalizado,clase_ab,interpretacion,ventas_neto,costo,en_catalogo
432,PALITOS DE MAIZ (AMARILLO) 5X120G OVNI,#16 SNACK,OVNI,423,1064.0,0.397556,0.3763,0.2909,1.0,A,alta rotación / baja rentabilidad,3533086.76,2505222.23,si
433,MAIZ INFLADO / TUTUCA 5X200G OVNI,#16 SNACK,OVNI,316,686.0,0.460641,0.4416,0.2868,1.0,A,alta rotación / baja rentabilidad,3769918.33,2688705.26,si
435,MANI SALADO 5X160G OVNI,#16 SNACK,OVNI,120,154.0,0.779221,0.7714,0.2892,1.0,A,alta rotación / baja rentabilidad,726533.65,516448.64,si
436,PALITOS SALADO 5X150G OVNI,#16 SNACK,OVNI,477,936.0,0.509615,0.4923,0.2898,1.0,A,alta rotación / baja rentabilidad,4352713.07,3091196.08,si
437,MAIZ INFLADO / TUTUCA 5X50G OVNI,#16 SNACK,OVNI,260,454.0,0.572687,0.5576,0.2902,1.0,A,alta rotación / baja rentabilidad,847104.79,601291.48,si
440,PAPAS FRITAS 5X90G OVNI,#16 SNACK,OVNI,496,1093.0,0.453797,0.4346,0.2907,1.0,A,alta rotación / baja rentabilidad,7176921.35,5090534.19,si
441,PELOTITAS DE MAIZ 5X50G OVNI,#16 SNACK,OVNI,87,125.0,0.696,0.6853,0.291,1.0,A,alta rotación / baja rentabilidad,201100.15,142589.88,si
453,PALITOS GALÁCTICO  1X150G OVNI,#16 SNACK,OVNI,118,784.0,0.15051,0.1206,0.2866,1.0,B,baja rotación / alta rentabilidad,1012317.61,722145.67,si
456,AJI MOLIDO BASILIA 1 X 25GR,#14 ALMACEN,BASILIA,29,180.0,0.161111,0.1316,0.2326,1.0,B,baja rotación / alta rentabilidad,63966.96,49091.4,si
457,CHIMICHURRI BASILIA 1 X 25GR,#14 ALMACEN,BASILIA,29,179.0,0.162011,0.1325,0.2307,1.0,B,baja rotación / alta rentabilidad,57694.19,44381.26,si
458,CONDIMENTO PARA PIZZA BASILIA 1 X 25GR,#14 ALMACEN,BASILIA,36,216.0,0.166667,0.1373,0.2368,1.0,B,baja rotación / alta rentabilidad,67834.8,51768.72,si
459,OREGANO BASILIA 1 X 25 GR,#14 ALMACEN,BASILIA,47,301.0,0.156146,0.1264,0.2432,1.0,B,baja rotación / alta rentabilidad,92041.39,69654.41,si
460,PIMIENTA NEGRA MOLIDA BASILIA 1 X 25 GR,#14 ALMACEN,BASILIA,28,143.0,0.195804,0.1675,0.2358,1.0,B,baja rotación / alta rentabilidad,64954.54,49636.73,si
461,PIMENTON BASILIA 1 X 25GR,#14 ALMACEN,BASILIA,40,224.0,0.178571,0.1496,0.2326,1.0,B,baja rotación / alta rentabilidad,79603.35,61091.52,si
462,PROVENZAL BASILIA 1X25 GR,#14 ALMACEN,BASILIA,34,232.0,0.146552,0.1165,0.29,1.0,B,baja rotación / alta rentabilidad,89117.94,63273.36,si
464,CONITOS GALACTICOS 1X180GR OVNI,#16 SNACK,OVNI,41,209.0,0.196172,0.1678,0.2903,1.0,B,baja rotación / alta rentabilidad,629274.35,446584.25,si
469,PIZZETAS GALÁCTICAS X 100GR OVNI,#16 SNACK,OVNI,47,212.0,0.221698,0.1943,0.2836,1.0,B,baja rotación / alta rentabilidad,222464.37,159368.83,si
470,SERRANITOS GALÁCTICOS 1X150GR OVNI,#16 SNACK,OVNI,40,189.0,0.21164,0.1839,0.2908,1.0,B,baja rotación / alta rentabilidad,243694.18,172838.57,si
472,TONICA SIN AZÚCAR MANAOS 2.25 LTS.,#02 MANAOS 2.25 LTS,MANAOS,87,134.0,0.649254,0.6369,0.3572,1.0,B,baja rotación / alta rentabilidad,1203217.27,773388.7,si
5,COPOS DE MAIZ TRADICIONALES GAONA 1X150 GR,#14 ALMACEN,GAONA,20,100.0,0.2,0.1718,0.3031,1.0,B,baja rotación / alta rentabilidad,78512.37,54717.0,si
6,BARRAS DE CEREAL ORIGINAL GAONA 15X23 GR,#14 ALMACEN,GAONA,44,51.0,0.862745,0.8579,0.301,1.0,B,baja rotación / alta rentabilidad,499041.18,348813.97,si
9,BARRAS DE CEREAL YOGUR FRUTILLA GAONA 15X23GR,#14 ALMACEN,GAONA,24,36.0,0.666667,0.6549,0.301,1.0,B,baja rotación / alta rentabilidad,352264.4,246221.64,si
