pedido_ref,mes,cliente_codigo,product_code,nombre,cantidad_solicitada,precio_unitario,line_total,cantidad_lineas_origen,is_mock
ERP-MARZO-100021,marzo,100021,301,POMELO BLANCO 3 lts. X 6 MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100021,marzo,100021,316,AGUA 600ml X12 VILLA MANAOS,2.0,4553.72,9107.44,1,false
ERP-MARZO-100021,marzo,100021,318,AGUA 2 lts. X6 VILLA MANAOS,1.0,3809.92,3809.92,1,false
ERP-MARZO-100022,marzo,100022,10043,MANAOS LATA POMELO  X6 UNIDADES,1.0,4677.69,4677.69,1,false
ERP-MARZO-100022,marzo,100022,304,POMELO 500ml X12 PLACER,1.0,5884.30,5884.30,1,false
ERP-MARZO-100022,marzo,100022,316,AGUA 600ml X12 VILLA MANAOS,1.0,4553.72,4553.72,1,false
ERP-MARZO-100022,marzo,100022,317,AGUA c/ GAS 600ml X12 VILLA MANAOS,1.0,4900.83,4900.83,1,false
ERP-MARZO-100022,marzo,100022,393,AGUA EL SANO CORAZON ARGENTINO 500 ML X 12 S/GAS,1.0,4148.76,4148.76,1,false
ERP-MARZO-100024,marzo,100024,356,AGUA EL SANO CORAZON ARGENTINO 1.5 LTS. X 6 S/GAS,3.0,3644.63,10933.89,1,false
ERP-MARZO-100025,marzo,100025,10040,MANAOS LATA COLA X6 UNIDADES,1.0,4677.69,4677.69,1,false
ERP-MARZO-100025,marzo,100025,295,COLA 3 lts. X 6  MANAOS,3.0,8925.62,26776.86,2,false
ERP-MARZO-100025,marzo,100025,300,MANZANA 3 lts. X 6  MANAOS,2.0,8925.62,17851.24,2,false
ERP-MARZO-100025,marzo,100025,301,POMELO BLANCO 3 lts. X 6 MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100025,marzo,100025,315,SODA SIFON 2 lts. X6 MANAOS,3.0,8201.10,24603.30,2,false
ERP-MARZO-100025,marzo,100025,317,AGUA c/ GAS 600ml X12 VILLA MANAOS,1.0,4900.83,4900.83,1,false
ERP-MARZO-100029,marzo,100029,10140,COLA 1.5 LTS X 6 MANAOS,3.0,5785.12,17355.36,1,false
ERP-MARZO-100029,marzo,100029,295,COLA 3 lts. X 6  MANAOS,2.0,8925.62,17851.24,1,false
ERP-MARZO-100029,marzo,100029,297,NARANJA 3 lts. X 6 MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100031,marzo,100031,295,COLA 3 lts. X 6  MANAOS,4.0,8925.62,35702.48,1,false
ERP-MARZO-100031,marzo,100031,296,LIMA LIMON 3 LTS. X 6 MANAOS,3.0,8925.62,26776.86,1,false
ERP-MARZO-100031,marzo,100031,297,NARANJA 3 lts. X 6 MANAOS,2.0,8925.62,17851.24,1,false
ERP-MARZO-100031,marzo,100031,300,MANZANA 3 lts. X 6  MANAOS,3.0,8925.62,26776.86,1,false
ERP-MARZO-100033,marzo,100033,295,COLA 3 lts. X 6  MANAOS,4.0,8925.62,35702.48,1,false
ERP-MARZO-100033,marzo,100033,296,LIMA LIMON 3 LTS. X 6 MANAOS,2.0,8925.62,17851.24,1,false
ERP-MARZO-100033,marzo,100033,297,NARANJA 3 lts. X 6 MANAOS,2.0,8925.62,17851.24,1,false
ERP-MARZO-100033,marzo,100033,300,MANZANA 3 lts. X 6  MANAOS,3.0,8925.62,26776.86,1,false
ERP-MARZO-100033,marzo,100033,301,POMELO BLANCO 3 lts. X 6 MANAOS,3.0,8925.62,26776.86,1,false
ERP-MARZO-100033,marzo,100033,316,AGUA 600ml X12 VILLA MANAOS,21.0,4553.72,95628.12,1,false
ERP-MARZO-100033,marzo,100033,318,AGUA 2 lts. X6 VILLA MANAOS,2.0,3809.92,7619.84,1,false
ERP-MARZO-100033,marzo,100033,436,PALITOS SALADO 5X150G OVNI,5.0,4297.52,21487.60,1,false
ERP-MARZO-100033,marzo,100033,440,PAPAS FRITAS 5X90G OVNI,2.0,6057.85,12115.70,1,false
ERP-MARZO-100036,marzo,100036,10047,POMELO ROSADO 1.5 LTS X6 PLACER,1.0,5520.66,5520.66,1,false
ERP-MARZO-100036,marzo,100036,10109,BIZCOCHO AZUCARADO 1X180GRS GAONA,5.0,619.84,3099.20,1,false
ERP-MARZO-100036,marzo,100036,295,COLA 3 lts. X 6  MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100036,marzo,100036,296,LIMA LIMON 3 LTS. X 6 MANAOS,3.0,8925.62,26776.86,1,false
ERP-MARZO-100036,marzo,100036,297,NARANJA 3 lts. X 6 MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100036,marzo,100036,313,ANANA 1.5 lts. X6 PLACER,1.0,5520.66,5520.66,1,false
ERP-MARZO-100036,marzo,100036,314,MULTIFRUTA 1.5 lts. X6 PLACER,2.0,5520.66,11041.32,1,false
ERP-MARZO-100036,marzo,100036,395,GRANADINA 3 LTS X6 MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100041,marzo,100041,10160,POMELO ROSADO 500 ML PLACER,1.0,5884.30,5884.30,1,false
ERP-MARZO-100041,marzo,100041,304,POMELO 500ml X12 PLACER,2.0,5884.30,11768.60,1,false
ERP-MARZO-100041,marzo,100041,305,MANZANA 500ml X12 PLACER,2.0,5884.30,11768.60,1,false
ERP-MARZO-100041,marzo,100041,306,PERA 500ml X12 PLACER,1.0,5884.30,5884.30,1,false
ERP-MARZO-100041,marzo,100041,307,ANANA 500ml X12 PLACER,1.0,5884.30,5884.30,1,false
ERP-MARZO-100041,marzo,100041,311,MANZANA 1.5 lts. X6 PLACER,1.0,5520.66,5520.66,1,false
ERP-MARZO-100041,marzo,100041,312,PERA 1.5 lts. X6 PLACER,1.0,5520.66,5520.66,1,false
ERP-MARZO-100041,marzo,100041,316,AGUA 600ml X12 VILLA MANAOS,5.0,4553.72,22768.60,1,false
ERP-MARZO-100041,marzo,100041,317,AGUA c/ GAS 600ml X12 VILLA MANAOS,1.0,4900.83,4900.83,1,false
ERP-MARZO-100041,marzo,100041,318,AGUA 2 lts. X6 VILLA MANAOS,1.0,3809.92,3809.92,1,false
ERP-MARZO-100041,marzo,100041,356,AGUA EL SANO CORAZON ARGENTINO 1.5 LTS. X 6 S/GAS,7.0,3644.63,25512.41,1,false
ERP-MARZO-100041,marzo,100041,430,PALITOS DE MAIZ (NARANJA) 5X120G OVNI,1.0,3404.96,3404.96,1,false
ERP-MARZO-100041,marzo,100041,433,MAIZ INFLADO / TUTUCA 5X200G OVNI,5.0,5099.17,25495.85,1,false
ERP-MARZO-100047,marzo,100047,316,AGUA 600ml X12 VILLA MANAOS,2.0,4553.72,9107.44,1,false
ERP-MARZO-100047,marzo,100047,356,AGUA EL SANO CORAZON ARGENTINO 1.5 LTS. X 6 S/GAS,2.0,3644.63,7289.26,1,false
ERP-MARZO-100049,marzo,100049,10141,LIMA LIMON 1.5 LTS X 6 MANAOS,1.0,5785.12,5785.12,1,false
