codigo,codigo_secundario,descripcion_larga,division,rubro,um_ventas,cant_minima_venta,um_compras,um_precio_sugerido,bu_un,bu_di,di_un,un_bu,hi_bu,pa_hi,pa_bu
0206,0206,"402 - BUENA CARA CON""BC""6X3",ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,6,6,1,0.166666667,1,,1
0207,0207,436 - MER CIRUELA LV 12X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0208,0208,423 - MER DAMASCO LV 12X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0209,0209,422 - MER DURAZNOS LV 12X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0213,0213,424 - MER FRUTILLA LV 12X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0214,0214,426 - MER NARANJA LV 12X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0215,0215,487 - M.CIR.LV LIGHT 12X390,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0216,0216,488 - M.DAM.LV LIGHT 12X390,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0217,0217,490 - M.DUR.LV LIGHT 12X390,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0218,0218,474 - M.FRUT.LV LIGHT 12X390,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0219,0219,491 - M.NAR.LV LIGHT 12X390,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0220,0220,465 - M.CIRUELA CUY.12X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0221,0221,466 - M.DAMASCO CUY. 12X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0222,0222,467 - M.DURAZNO CUY.12X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0223,0223,469 - M.FRUTILLA CUY 12X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0224,0224,468 - M.NARANJA CUY.12X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0225,0225,492 - M.CIR.CUY LIGHT 12X390,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
